model,oof_auroc,val_auroc,test_auroc,val_ap,test_ap,test_brier,load_seconds,predict_seconds,error
catboost,0.9977226636193556,0.997218867743612,0.9970183124949734,0.9898075223529359,0.9895212459485999,0.018092715988856235,3.94,0.77,
cnn_1d,,,,,,,,,TypeError: NoneType.__new__(X): X is not a type object (NoneType)
gradient_boosting,0.9970201495209131,0.9965512684989427,0.9965115258923158,0.9876208865504036,0.9882344159693959,0.013985420762297454,0.01,5.11,
lightgbm,0.9978492587578398,0.9971779413889483,0.996953016118241,0.9889560079295091,0.98847190437488,0.013875216716012552,0.04,5.99,
logistic_regression,0.9952230884453036,0.9948731111475266,0.9936901851527872,0.9765780695684994,0.9765236748149365,0.024223515339795748,0.0,0.12,
mc_dropout,0.9970642527177778,0.9968350371824877,0.9969105365344293,0.9881570527060477,0.9889047230119264,0.014211216941475868,0.06,18.34,
random_forest,0.9960981335349613,0.9939836714587647,0.9941579766860057,0.9798622502002228,0.979484754685327,0.020383204694074803,16.39,32.87,
tabular_nn,0.9970642527177778,0.9968350371824877,0.9969105365344293,0.9881570527060477,0.9889047230119264,0.014211216941475868,0.09,15.74,
xgboost,0.9978783876953947,0.9970577318524971,0.9968244206762144,0.9888597272640659,0.9879393337356079,0.014408264309167862,0.13,3.2,
